City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,nemuro,43.3236,145.575,-3.54,92,100,7.66,JP,1674157229
304,westport,41.1415,-73.3579,5.05,89,100,4.12,US,1674157048
305,bengkulu,-3.8004,102.2655,22.39,95,100,1.44,ID,1674157230
306,toma,12.7667,-2.8833,24.95,12,8,4.16,BF,1674157230
307,narsipatnam,17.6667,82.6167,19.03,92,5,1.09,IN,1674157230
308,bethel,41.3712,-73.414,3.64,85,100,1.84,US,1674157231
309,tupik,54.4253,119.9327,-46.15,100,80,0.51,RU,1674157231
310,karachev,53.1229,34.9852,4.74,89,100,6.87,RU,1674157232
311,plouzane,48.3833,-4.6167,4.03,93,20,4.12,FR,1674157232
312,zwolle,52.5126,6.0936,2.18,88,24,1.34,NL,1674157232
313,kosonsoy,41.2561,71.5508,-9.69,62,0,3.35,UZ,1674157233
314,poykovskiy,61.2333,73.3333,-17.84,78,40,0.0,RU,1674157233
315,cheremukhovo,60.3484,59.9851,-15.8,95,100,1.74,RU,1674157233
316,ust-kuyga,70.0167,135.6,-38.7,98,67,2.25,RU,1674157233
317,kahului,20.8947,-156.47,26.02,76,20,4.02,US,1674157216
318,aldan,58.6031,125.3894,-47.28,98,100,1.91,RU,1674157234
319,geraldton,-28.7667,114.6,22.23,83,0,3.09,AU,1674157173
320,portland,45.5234,-122.6762,5.99,93,100,2.06,US,1674156615
321,cockburn town,21.4612,-71.1419,24.76,72,19,7.74,TC,1674157234
322,chimbarongo,-34.7,-71.05,25.96,24,0,7.16,CL,1674157235
323,sirsa,29.5333,75.0167,11.32,81,100,4.88,IN,1674157235
324,buchanan,5.8808,-10.0467,26.47,87,54,3.44,LR,1674157235
325,pavilosta,56.8879,21.1859,-0.05,89,17,3.43,LV,1674157236
326,adrar,20.5022,-10.0711,19.59,32,34,3.76,MR,1674157236
327,itarema,-2.9248,-39.9167,27.62,69,83,5.11,BR,1674157236
328,ola,59.5833,151.2833,-29.49,84,34,5.34,RU,1674157237
329,la ronge,55.1001,-105.2842,-6.86,86,100,4.12,CA,1674157237
330,awbari,26.5921,12.7805,12.59,31,0,6.08,LY,1674157237
331,kaitangata,-46.2817,169.8464,16.4,78,76,1.36,NZ,1674157237
332,rawson,-43.3002,-65.1023,33.67,27,38,5.76,AR,1674157199
333,port augusta,-32.5,137.7667,15.57,54,10,3.24,AU,1674157238
334,kuah,6.3265,99.8432,26.99,74,20,1.54,MY,1674157238
335,horta,38.5333,-28.6333,15.01,75,75,4.92,PT,1674157238
336,yurimaguas,-5.9,-76.0833,24.09,94,100,1.54,PE,1674157239
337,ust-kut,56.7938,105.7672,-29.75,99,100,0.97,RU,1674157239
338,henties bay,-22.116,14.2845,18.87,86,86,3.31,NA,1674157239
339,port macquarie,-31.4333,152.9167,18.27,79,100,4.87,AU,1674157240
340,hamilton,39.1834,-84.5333,17.54,44,0,8.23,US,1674156961
341,touros,-5.1989,-35.4608,27.59,71,29,5.85,BR,1674157240
342,mana,5.6592,-53.7767,25.59,77,42,3.21,GF,1674157240
343,luwuk,-0.9516,122.7875,25.21,80,94,1.42,ID,1674157005
344,fairbanks,64.8378,-147.7164,-21.02,81,75,2.06,US,1674157202
345,valparaiso,-33.0393,-71.6273,19.15,92,75,3.6,CL,1674157241
346,chifeng,42.2683,118.9636,-16.96,38,0,4.17,CN,1674157241
347,meadow lake,34.8014,-106.5436,6.35,43,93,1.92,US,1674157242
348,lompoc,34.6391,-120.4579,12.14,93,100,3.6,US,1674157242
349,nelson bay,-32.7167,152.15,18.33,97,93,2.68,AU,1674157242
350,ozu,33.5,132.55,6.77,70,94,3.55,JP,1674157243
351,vlasotince,42.9636,22.1231,8.47,82,100,1.91,RS,1674157243
352,plettenberg bay,-34.0527,23.3716,19.65,90,18,1.05,ZA,1674157070
353,labuhan,-6.8844,112.2051,24.67,88,100,2.97,ID,1674157243
354,barahona,18.2085,-71.1008,29.9,48,20,8.23,DO,1674157244
355,vizinga,61.0749,50.1031,-5.09,88,100,4.94,RU,1674157244
356,puerto escondido,15.85,-97.0667,29.46,61,40,4.63,MX,1674157069
357,siena,43.2167,11.4,2.74,94,91,1.46,IT,1674157244
358,pemangkat,1.1667,108.9667,24.89,90,100,2.1,ID,1674157244
359,shelburne,44.0787,-80.2041,-0.56,98,100,7.39,CA,1674157245
360,hovd,48.0056,91.6419,-15.57,66,8,1.07,MN,1674157245
